playerID,year,stint,tmID,TotalGP,Points,TotalMinutes,TotaloRebounds,TotaldRebounds,TotalRebounds,TotalAssists,TotalSteals,TotalBlocks,TotalTurnovers,TotalPF,TotalfgAttempted,TotalfgMade,TotalftAttempted,TotalftMade,TotalthreeAttempted,TotalthreeMade,TotalGS,TotalDQ
mcculda01w,3,0,SEA,4,2,43,3,4,7,1,1,0,2,5,12,0,2,2,3,0,1,0
mcculda01w,4,0,SEA,7,2,26,0,1,1,0,0,0,4,3,6,1,0,0,1,0,0,0
mcgheca01w,1,0,ORL,35,92,445,31,38,69,24,25,5,34,61,90,31,42,30,3,0,0,0
mcgheca01w,2,0,ORL,17,14,71,3,7,10,0,1,1,6,9,24,6,4,2,0,0,0,0
mcgheca01w,3,0,ORL,2,5,4,1,0,1,0,0,0,0,0,4,2,1,1,0,0,0,0
mckivte01w,4,0,CHA,33,105,354,39,54,93,6,14,25,27,60,80,41,31,23,1,0,1,0
mckivte01w,5,0,CHA,9,35,77,9,9,18,0,2,6,5,21,27,14,14,7,0,0,0,0
mckivte01w,6,0,CHA,31,113,362,29,36,65,7,14,18,26,71,91,44,36,25,0,0,1,0
mckivte01w,8,0,PHO,2,0,5,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0
mcwilta01w,1,0,ORL,35,481,1205,96,171,267,59,61,34,88,94,368,191,131,94,19,5,35,0
mcwilta01w,2,0,ORL,32,403,1059,114,129,243,69,52,50,80,74,331,157,117,87,10,2,32,1
mcwilta01w,3,0,ORL,13,110,383,21,42,63,13,19,14,22,40,82,41,31,27,3,1,12,1
mcwilta01w,4,0,CON,38,419,1105,87,170,257,54,49,35,60,113,348,157,119,92,48,13,38,1
mcwilta01w,5,0,CON,42,496,1385,102,201,303,78,60,51,86,118,439,203,146,89,14,1,42,1
mcwilta01w,6,0,CON,42,598,1367,100,223,323,78,46,36,75,103,458,228,174,137,21,5,42,1
mcwilta01w,7,0,CON,37,474,1160,120,233,353,91,37,35,87,92,392,191,125,91,11,1,37,0
mcwilta01w,8,0,LAS,29,321,851,69,101,170,49,34,30,50,75,255,125,88,68,13,3,27,1
mcwilta01w,9,2,DET,16,191,478,36,74,110,32,12,17,26,40,162,75,44,39,3,2,16,0
mcwilta01w,9,1,WAS,26,347,862,59,132,191,41,44,25,75,62,280,147,63,46,25,7,26,0
mcwilta01w,10,0,DET,39,370,1166,71,176,247,107,38,18,79,104,311,157,70,52,16,4,39,0
melvich01w,1,0,CLE,38,426,1087,85,127,212,72,34,21,73,133,327,156,155,113,8,1,38,4
melvich01w,2,0,CLE,30,290,835,72,94,166,56,26,18,51,86,231,110,97,68,2,2,22,0
melvich01w,3,0,CLE,32,399,1055,84,110,194,57,28,18,74,104,330,153,131,90,6,3,32,2
melvich01w,4,0,CLE,37,494,1165,85,143,228,57,30,26,75,118,364,171,210,149,12,3,37,0
melvich01w,5,0,WAS,37,334,929,70,86,156,43,16,22,54,99,287,117,132,100,0,0,19,0
melvich01w,6,0,WAS,34,397,1051,82,117,199,25,31,14,61,113,305,150,138,93,16,4,34,1
melvich01w,7,0,WAS,36,416,1057,94,145,239,45,34,26,67,120,309,158,155,100,2,0,36,2
melvich01w,8,2,CHI,29,288,853,66,127,193,37,32,22,69,88,233,109,110,69,5,1,25,0
melvich01w,8,1,WAS,3,34,82,7,13,20,0,6,0,2,13,26,9,19,16,2,0,3,0
melvich01w,9,0,CHI,34,278,759,85,87,172,50,31,10,49,99,221,98,132,81,3,1,18,1
melvich01w,10,0,WAS,36,218,801,81,83,164,40,36,30,57,111,200,91,64,36,1,0,35,1
mendigi01w,5,0,SAC,6,10,39,2,3,5,3,0,0,3,2,8,4,0,0,5,2,0,0
miaomi01w,6,0,SAC,18,31,135,0,4,4,13,5,1,15,13,30,9,7,7,20,6,0,0
millebr01w,10,0,DET,1,0,8,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
milleco01w,2,0,WAS,20,34,137,5,4,9,8,6,0,13,10,40,13,11,6,6,2,0,0
milleco01w,3,0,WAS,37,352,1067,51,80,131,94,35,2,66,97,313,135,66,52,75,30,37,0
milleco01w,4,0,WAS,33,413,1076,55,72,127,86,39,7,53,95,382,172,53,37,89,32,33,1
milleco01w,5,0,WAS,36,176,688,38,32,70,45,23,3,29,62,186,79,16,13,19,5,8,0
milleco01w,6,0,WAS,34,153,500,24,35,59,44,26,3,28,53,160,68,10,8,24,9,4,0
milleco01w,7,0,WAS,36,222,696,38,59,97,61,35,4,53,80,186,91,33,27,32,13,4,1
milleco01w,8,0,WAS,30,120,455,20,29,49,25,19,2,29,45,116,47,16,16,25,10,2,0
milleco01w,9,0,WAS,34,179,710,46,39,85,47,26,5,58,63,217,77,16,10,53,15,6,0
milleco01w,10,0,ATL,36,138,420,20,30,50,35,12,2,32,37,127,53,26,23,28,9,5,0
milleke01w,2,0,CHA,28,55,233,11,17,28,14,9,0,9,14,59,22,7,4,19,7,0,0
milleke01w,3,0,CHA,34,216,567,31,39,70,49,22,1,28,42,181,81,38,29,52,25,0,0
milleke01w,4,0,CHA,36,197,546,20,34,54,49,18,2,36,46,177,72,40,31,54,22,0,0
milleke01w,5,0,IND,34,348,1096,28,80,108,106,37,5,74,81,326,126,57,50,112,46,34,3
milleke01w,6,0,IND,38,388,1212,26,67,93,91,45,2,58,94,317,134,89,74,131,46,38,1
milleke01w,7,0,PHO,27,296,814,41,103,144,94,28,6,73,74,259,109,62,48,79,30,24,0
milleke01w,8,0,PHO,43,426,1337,66,150,216,188,54,6,104,112,317,150,115,91,96,35,43,1
milleke01w,9,0,PHO,34,283,945,50,98,148,135,22,4,84,66,262,107,58,49,52,20,34,0
