year,tmID,confID,playoff,o_oreb,o_dreb,o_pf,o_stl,o_blk,o_pts,d_oreb,d_dreb,d_asts,d_pf,d_to,d_blk,d_pts,min,attend,RoundReached,winPercentage,homeWinPercentage,awayWinPercentage,of_goal,of_3pt,of_throw,of_reb,of_assist,df_goal,df_3pt,df_throw,df_reb,df_steal
7,SEA,WE,1,327,821,682,232,127,2644,322,709,520,683,485,115,2575,6800,145664,1,0.529,0.529,0.529,0.45,0.34,0.79,1148,0.9,0.42,0.34,0.75,1031,297
8,SEA,WE,1,344,820,620,242,151,2734,333,761,591,642,495,112,2647,6825,135553,1,0.5,0.706,0.294,0.44,0.35,0.81,1164,1.0,0.43,0.37,0.82,1094,272
9,SEA,WE,1,340,822,684,269,140,2493,332,760,498,674,515,115,2406,6800,140503,1,0.647,0.941,0.353,0.43,0.32,0.76,1162,1.01,0.4,0.32,0.75,1092,263
10,SEA,WE,1,316,788,710,276,150,2544,332,746,517,672,555,131,2476,7025,133858,1,0.588,0.765,0.412,0.43,0.35,0.79,1104,0.97,0.41,0.35,0.76,1078,275
1,UTA,WE,0,348,732,698,214,157,2413,313,598,503,702,437,112,2407,6400,103442,0,0.562,0.75,0.375,0.45,0.34,0.77,1080,0.96,0.44,0.35,0.74,911,301
2,UTA,WE,1,295,775,622,202,156,2207,344,630,478,645,390,148,2192,6475,110507,1,0.594,0.562,0.625,0.44,0.32,0.75,1070,1.06,0.4,0.29,0.74,974,275
3,UTA,WE,1,347,721,665,228,178,2418,361,645,489,724,444,149,2344,6450,118720,2,0.625,0.75,0.5,0.44,0.36,0.76,1068,0.92,0.41,0.33,0.75,1006,260
1,WAS,EA,1,300,646,597,245,126,2176,299,612,513,595,456,102,2221,6400,244134,1,0.438,0.438,0.438,0.46,0.33,0.7,946,1.03,0.45,0.38,0.69,911,261
2,WAS,EA,0,356,699,537,257,127,1928,331,737,487,543,454,103,2075,6500,246667,0,0.312,0.5,0.125,0.39,0.28,0.66,1055,0.86,0.41,0.36,0.74,1068,261
3,WAS,EA,1,330,708,583,221,94,2135,309,680,442,570,441,101,2116,6450,259237,2,0.531,0.562,0.5,0.42,0.37,0.75,1038,1.13,0.41,0.33,0.74,989,237
4,WAS,EA,0,382,703,676,213,99,2330,334,781,591,565,468,119,2498,6875,238710,0,0.265,0.176,0.353,0.41,0.31,0.75,1085,1.23,0.45,0.35,0.74,1115,251
5,WAS,EA,1,337,726,652,255,128,2325,336,770,534,627,492,111,2384,6850,214448,1,0.5,0.647,0.353,0.42,0.37,0.72,1063,1.1,0.43,0.34,0.74,1106,237
6,WAS,EA,0,266,677,697,260,76,2263,267,757,545,638,504,108,2305,6900,171501,0,0.471,0.588,0.353,0.43,0.35,0.71,943,1.19,0.44,0.35,0.75,1024,205
7,WAS,EA,1,330,770,784,306,113,2747,321,720,583,687,573,89,2657,6850,133255,1,0.529,0.765,0.294,0.46,0.36,0.74,1100,1.06,0.43,0.37,0.75,1041,252
8,WAS,EA,0,335,783,763,282,133,2585,383,825,549,762,579,103,2639,6900,133255,0,0.471,0.471,0.471,0.4,0.31,0.8,1118,0.83,0.42,0.34,0.77,1208,256
9,WAS,EA,0,362,770,757,241,93,2368,306,787,542,708,530,146,2601,6825,154637,0,0.294,0.353,0.235,0.42,0.35,0.66,1132,0.76,0.44,0.34,0.74,1093,314
10,WAS,EA,1,388,803,725,314,118,2585,322,789,524,778,576,156,2622,6875,192747,1,0.471,0.647,0.294,0.42,0.33,0.7,1191,0.75,0.43,0.34,0.75,1111,315
